"hr","mean.weekday.may.1","mean.weekday.may.2","mean.weekday.may.3","mean.weekday.jul.1","mean.weekday.jul.2","mean.weekday.jul.3","mean.weekday.sep.1","mean.weekday.sep.2","mean.weekday.sep.3","mean.weekday.dec.1","mean.weekday.dec.2","mean.weekday.dec.3","mean.weekend.may.1","mean.weekend.may.2","mean.weekend.may.3","mean.weekend.jul.1","mean.weekend.jul.2","mean.weekend.jul.3","mean.weekend.sep.1","mean.weekend.sep.2","mean.weekend.sep.3","mean.weekend.dec.1","mean.weekend.dec.2","mean.weekend.dec.3"
1,291.762,957.133,966.084,325.015,1034.581,969.2905,320.782,936.938,851.302000000002,254.5435,894.483,781.041,280.905416666667,957.69,901.24625,301.29875,1113.2675,996.16875,304.9625,733.30875,906.065,234.115,893.3,770.91625
2,289.219666666667,953.315,977.508,321.111,1009.69033333333,986.377,316.7385,927.2165,858.892,251.2515,846.2505,713.0565,280.880416666667,952.67,911.45125,297.4425,1108.2775,1011.6,303.0575,730.8825,903.25125,232.52125,887.9875,621.61875
3,285.727666666667,954.079,1046.238,321.5735,952.2985,1036.5955,311.633,923.869,943.842,249.5115,788.2095,726.8455,278.834583333333,953.69125,974.92125,294.62,1106.1225,1073.67625,299.52625,729.76375,992.51625,232.8475,777.7775,530.01625
4,284.8415,954.7695,1026.9555,319.7795,951.612166666667,1030.9465,310.0855,921.515,976.651333333333,249.4585,737.7125,650.3325,275.602083333333,899.39375,955.348749999996,297.89,1104.39125,1046.30375,300.015,728.49625,960.29,232.265,558.29375,403.185
5,285.278833333333,954.36,961.1185,317.925,948.440166666667,1025.207,310.607,893.68,963.199333333333,247.733,687.7845,591.103,275.95125,876.3525,912.5175,293.945,1098.8525,1009.83375,301.96125,728.38625,895.03375,231.4125,477.345,273.01625
6,281.217666666667,939.9955,851.331,317.286,922.899333333333,960.956,306.361,876.749,860.412,246.397,638.189,499.54,270.85875,828.74125,820.7425,293.70875,723.2075,901.245,297.025,650.55875,700.71625,230.37375,392.56625,267.20125
7,284.802,663.6805,658.947,319.1815,563.527833333333,791.5685,321.3795,704.2325,667.0945,258.551,488.9065,417.4765,288.353333333333,902.785,691.00125,327.23625,504.97875,846.19,308.38875,717.9175,795.13,246.1175,367.8775,285.85625
8,477.5895,574.875,658.9895,528.626,686.649,835.151,749.8885,615.1425,617.066,532.838,573.334,468.8635,420.936666666667,519.17125,528.725,401.85625,549.185,575.215,406.61,452.6975,470.5575,357.09875,473.175,389.63625
9,1287.63583333333,1035.935,1285.421,1432.0825,1439.80866666667,1368.2495,1334.4485,1258.939,1146.25583333333,988.388,992.465,979.6925,890.98,882.84875,930.44875,971.74375,926.2175,889.5425,818.15,737.5125,690.455,732.225,808.22,750.5575
10,1314.12566666667,1055.0275,1222.992,1461.038,1240.589,1286.74183333333,1362.715,1181.4175,1133.30116666667,1021.386,976.118,958.7155,1082.85666666667,910.45375,928.3575,1226.205,910.91375,904.93875,1132.87125,726.9,690.539166666667,805.84375,833.38875,755.48125
